### DEBUG OUTPUT START ###
	CLUSTAL_ALL_FILE: /mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all
	CLUSTAL_ALIGNMENT_FILE: /mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all.aln
### DEBUG OUTPUT END ###
Running clustalw2
/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/scripts/clustal_run.sh: line 17: [: ==: unary operator expected
clustalw2 cmd: clustalw2 -align -type=DNA -infile=/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all -outfile=/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all.aln



 CLUSTAL 2.0.12 Multiple Sequence Alignments


Sequence type explicitly set to DNA
Sequence format is Pearson
Sequence 1: SEQ0000001  1475 bp
Sequences (5:34) Aligned. Score:  77
Sequences (5:35) Aligned. Score:  75
Sequences (5:36) Aligned. Score:  73
Sequences (5:37) Aligned. Score:  74
Sequences (5:38) Aligned. Score:  74
Sequences (5:39) Aligned. Score:  76
Sequences (5:40) Aligned. Score:  76
Sequences (5:41) Aligned. Score:  68
Sequences (5:42) Aligned. Score:  73
Sequences (5:43) Aligned. Score:  72
Sequences (5:44) Aligned. Score:  76
Sequences (6:7) Aligned. Score:  93
Sequences (6:8) Aligned. Score:  78
Sequences (6:9) Aligned. Score:  76
Sequences (6:10) Aligned. Score:  78
Sequences (6:11) Aligned. Score:  78
Sequences (6:12) Aligned. Score:  79
Sequences (6:13) Aligned. Score:  78
Sequences (6:14) Aligned. Score:  77
Sequences (6:15) Aligned. Score:  76
Sequences (6:16) Aligned. Score:  78
Sequences (6:17) Aligned. Score:  76
Sequences (6:18) Aligned. Score:  80
Sequences (6:19) Aligned. Score:  76
Sequences (6:20) Aligned. Score:  76
Sequences (6:21) Aligned. Score:  76
Sequences (6:22) Aligned. Score:  77
Sequences (6:23) Aligned. Score:  74
Sequences (6:24) Aligned. Score:  75
Sequences (6:25) Aligned. Score:  77
Sequences (6:26) Aligned. Score:  75
Sequences (6:27) Aligned. Score:  73
Sequences (6:28) Aligned. Score:  73
Sequences (6:29) Aligned. Score:  74
Sequences (6:30) Aligned. Score:  72
Sequences (6:31) Aligned. Score:  78
Sequences (6:32) Aligned. Score:  77
Sequences (6:33) Aligned. Score:  78
Sequences (6:34) Aligned. Score:  78
Sequences (6:35) Aligned. Score:  77
Sequences (6:36) Aligned. Score:  74
Sequences (6:37) Aligned. Score:  76
Sequences (6:38) Aligned. Score:  76
Sequences (6:39) Aligned. Score:  74
Sequences (6:40) Aligned. Score:  79
Sequences (6:41) Aligned. Score:  67
Sequences (6:42) Aligned. Score:  68
Sequences (6:43) Aligned. Score:  72
Sequences (6:44) Aligned. Score:  71
Sequences (7:8) Aligned. Score:  77
Sequences (7:9) Aligned. Score:  75
Sequences (7:10) Aligned. Score:  78
Sequences (7:11) Aligned. Score:  77
Sequences (7:12) Aligned. Score:  78
Sequences (7:13) Aligned. Score:  78
Sequences (7:14) Aligned. Score:  76
Sequences (7:15) Aligned. Score:  75
Sequences (7:16) Aligned. Score:  78
Sequences (7:17) Aligned. Score:  73
Sequences (7:18) Aligned. Score:  80
Sequences (7:19) Aligned. Score:  78
Sequences (7:20) Aligned. Score:  77
Sequences (7:21) Aligned. Score:  75
Sequences (7:22) Aligned. Score:  73
Sequences (7:23) Aligned. Score:  74
Sequences (7:24) Aligned. Score:  76
Sequences (7:25) Aligned. Score:  75
Sequences (7:26) Aligned. Score:  74
Sequences (7:27) Aligned. Score:  72
Sequences (7:28) Aligned. Score:  73
Sequences (7:29) Aligned. Score:  73
Sequences (7:30) Aligned. Score:  72
Sequences (7:31) Aligned. Score:  76
Sequences (7:32) Aligned. Score:  78
Sequences (7:33) Aligned. Score:  77
Sequences (7:34) Aligned. Score:  78
Sequences (7:35) Aligned. Score:  77
Sequences (7:36) Aligned. Score:  74
Sequences (7:37) Aligned. Score:  75
Sequences (7:38) Aligned. Score:  74
Sequences (7:39) Aligned. Score:  75
Sequences (7:40) Aligned. Score:  78
Sequences (7:41) Aligned. Score:  67
Sequences (7:42) Aligned. Score:  70
Sequences (7:43) Aligned. Score:  72
Sequences (7:44) Aligned. Score:  73
Sequences (8:9) Aligned. Score:  86
Sequences (8:10) Aligned. Score:  81
Sequences (8:11) Aligned. Score:  81
Sequences (8:12) Aligned. Score:  82
Sequences (8:13) Aligned. Score:  83
Sequences (8:14) Aligned. Score:  81
Sequences (8:15) Aligned. Score:  79
Sequences (8:16) Aligned. Score:  81
Sequences (8:17) Aligned. Score:  78
Sequences (8:18) Aligned. Score:  81
Sequences (8:19) Aligned. Score:  77
Sequences (8:20) Aligned. Score:  79
Sequences (8:21) Aligned. Score:  77
Sequences (8:22) Aligned. Score:  78
Sequences (8:23) Aligned. Score:  78
Sequences (8:24) Aligned. Score:  76
Sequences (8:25) Aligned. Score:  76
Sequences (8:26) Aligned. Score:  74
Sequences (8:27) Aligned. Score:  73
Sequences (8:28) Aligned. Score:  73
Sequences (8:29) Aligned. Score:  74
Sequences (8:30) Aligned. Score:  72
Sequences (8:31) Aligned. Score:  76
Sequences (8:32) Aligned. Score:  77
Sequences (8:33) Aligned. Score:  79
Sequences (8:34) Aligned. Score:  79
Sequences (8:35) Aligned. Score:  77
Sequences (8:36) Aligned. Score:  72
Sequences (8:37) Aligned. Score:  76
Sequences (8:38) Aligned. Score:  77
Sequences (8:39) Aligned. Score:  74
Sequences (8:40) Aligned. Score:  79
Sequences (8:41) Aligned. Score:  70
Sequences (8:42) Aligned. Score:  69
Sequences (8:43) Aligned. Score:  74
Sequences (8:44) Aligned. Score:  73
Sequences (9:10) Aligned. Score:  80
Sequences (9:11) Aligned. Score:  79
Sequences (9:12) Aligned. Score:  81
Sequences (9:13) Aligned. Score:  81
Sequences (9:14) Aligned. Score:  79
Sequences (9:15) Aligned. Score:  78
Sequences (9:16) Aligned. Score:  80
Sequences (9:17) Aligned. Score:  79
Sequences (9:18) Aligned. Score:  80
Sequences (9:19) Aligned. Score:  78
Sequences (9:20) Aligned. Score:  80
Sequences (9:21) Aligned. Score:  77
Sequences (9:22) Aligned. Score:  77
Sequences (9:23) Aligned. Score:  77
Sequences (9:24) Aligned. Score:  77
Sequences (9:25) Aligned. Score:  76
Sequences (9:26) Aligned. Score:  74
Sequences (9:27) Aligned. Score:  75
Sequences (9:28) Aligned. Score:  72
Sequences (9:29) Aligned. Score:  75
Sequences (9:30) Aligned. Score:  73
Sequences (9:31) Aligned. Score:  78
Sequences (9:32) Aligned. Score:  79
Sequences (9:33) Aligned. Score:  79
Sequences (9:34) Aligned. Score:  81
Sequences (9:35) Aligned. Score:  77
Sequences (9:36) Aligned. Score:  72
Sequences (9:37) Aligned. Score:  74
Sequences (9:38) Aligned. Score:  77
Sequences (9:39) Aligned. Score:  75
Sequences (9:40) Aligned. Score:  80
Sequences (9:41) Aligned. Score:  69
Sequences (9:42) Aligned. Score:  71
Sequences (9:43) Aligned. Score:  72
Sequences (9:44) Aligned. Score:  72
Sequences (10:11) Aligned. Score:  88
Sequences (10:12) Aligned. Score:  83
Sequences (10:13) Aligned. Score:  84
Sequences (10:14) Aligned. Score:  82
Sequences (10:15) Aligned. Score:  81
Sequences (10:16) Aligned. Score:  80
Sequences (10:17) Aligned. Score:  77
Sequences (10:18) Aligned. Score:  78
Sequences (10:19) Aligned. Score:  73
Sequences (10:20) Aligned. Score:  77
Sequences (10:21) Aligned. Score:  76
Sequences (10:22) Aligned. Score:  76
Sequences (10:23) Aligned. Score:  75
Sequences (10:24) Aligned. Score:  76
Sequences (10:25) Aligned. Score:  75
Sequences (10:26) Aligned. Score:  74
Sequences (10:27) Aligned. Score:  75
Sequences (10:28) Aligned. Score:  74
Sequences (10:29) Aligned. Score:  74
Sequences (10:30) Aligned. Score:  74
Sequences (10:31) Aligned. Score:  76
Sequences (10:32) Aligned. Score:  77
Sequences (10:33) Aligned. Score:  76
Sequences (10:34) Aligned. Score:  76
Sequences (10:35) Aligned. Score:  76
Sequences (10:36) Aligned. Score:  73
Sequences (10:37) Aligned. Score:  72
Sequences (10:38) Aligned. Score:  75
Sequences (10:39) Aligned. Score:  74
Sequences (10:40) Aligned. Score:  76
Sequences (10:41) Aligned. Score:  71
Sequences (10:42) Aligned. Score:  67
Sequences (10:43) Aligned. Score:  74
Sequences (10:44) Aligned. Score:  73
Sequences (11:12) Aligned. Score:  83
Sequences (11:13) Aligned. Score:  83
Sequences (11:14) Aligned. Score:  82
Sequences (11:15) Aligned. Score:  82
Sequences (11:16) Aligned. Score:  79
Sequences (11:17) Aligned. Score:  77
Sequences (11:18) Aligned. Score:  77
Sequences (11:19) Aligned. Score:  74
Sequences (11:20) Aligned. Score:  77
Sequences (11:21) Aligned. Score:  74
Sequences (11:22) Aligned. Score:  77
Sequences (11:23) Aligned. Score:  75
Sequences (11:24) Aligned. Score:  74
Sequences (11:25) Aligned. Score:  74
Sequences (11:26) Aligned. Score:  72
Sequences (11:27) Aligned. Score:  75
Sequences (11:28) Aligned. Score:  75
Sequences (11:29) Aligned. Score:  72
Sequences (11:30) Aligned. Score:  74
Sequences (11:31) Aligned. Score:  75
Sequences (11:32) Aligned. Score:  76
Sequences (11:33) Aligned. Score:  75
Sequences (11:34) Aligned. Score:  74
Sequences (11:35) Aligned. Score:  74
Sequences (11:36) Aligned. Score:  73
Sequences (11:37) Aligned. Score:  74
Sequences (11:38) Aligned. Score:  75
Sequences (11:39) Aligned. Score:  71
Sequences (11:40) Aligned. Score:  76
Sequences (11:41) Aligned. Score:  73
Sequences (11:42) Aligned. Score:  67
Sequences (11:43) Aligned. Score:  76
Sequences (11:44) Aligned. Score:  75
Sequences (12:13) Aligned. Score:  93
Sequences (12:14) Aligned. Score:  85
Sequences (12:15) Aligned. Score:  85
Sequences (12:16) Aligned. Score:  79
Sequences (12:17) Aligned. Score:  77
Sequences (12:18) Aligned. Score:  79
Sequences (12:19) Aligned. Score:  72
Sequences (12:20) Aligned. Score:  79
Sequences (12:21) Aligned. Score:  74
Sequences (12:22) Aligned. Score:  78
Sequences (12:23) Aligned. Score:  77
Sequences (12:24) Aligned. Score:  75
Sequences (12:25) Aligned. Score:  75
Sequences (12:26) Aligned. Score:  73
Sequences (12:27) Aligned. Score:  73
Sequences (12:28) Aligned. Score:  74
Sequences (12:29) Aligned. Score:  74
Sequences (12:30) Aligned. Score:  74
Sequences (12:31) Aligned. Score:  76
Sequences (12:32) Aligned. Score:  76
Sequences (12:33) Aligned. Score:  76
Sequences (12:34) Aligned. Score:  76
Sequences (12:35) Aligned. Score:  76
Sequences (12:36) Aligned. Score:  74
Sequences (12:37) Aligned. Score:  75
Sequences (12:38) Aligned. Score:  76
Sequences (12:39) Aligned. Score:  73
Sequences (12:40) Aligned. Score:  78
Sequences (12:41) Aligned. Score:  75
Sequences (12:42) Aligned. Score:  69
Sequences (12:43) Aligned. Score:  78
Sequences (12:44) Aligned. Score:  76
Sequences (13:14) Aligned. Score:  86
Sequences (13:15) Aligned. Score:  85
Sequences (13:16) Aligned. Score:  81
Sequences (13:17) Aligned. Score:  77
Sequences (13:18) Aligned. Score:  79
Sequences (13:19) Aligned. Score:  76
Sequences (13:20) Aligned. Score:  79
Sequences (13:21) Aligned. Score:  76
Sequences (13:22) Aligned. Score:  77
Sequences (13:23) Aligned. Score:  77
Sequences (13:24) Aligned. Score:  76
Sequences (13:25) Aligned. Score:  75
Sequences (13:26) Aligned. Score:  74
Sequences (13:27) Aligned. Score:  73
Sequences (13:28) Aligned. Score:  74
Sequences (13:29) Aligned. Score:  73
Sequences (13:30) Aligned. Score:  74
Sequences (13:31) Aligned. Score:  77
Sequences (13:32) Aligned. Score:  77
Sequences (13:33) Aligned. Score:  77
Sequences (13:34) Aligned. Score:  76
Sequences (13:35) Aligned. Score:  76
Sequences (13:36) Aligned. Score:  73
Sequences (13:37) Aligned. Score:  75
Sequences (13:38) Aligned. Score:  76
Sequences (13:39) Aligned. Score:  74
Sequences (13:40) Aligned. Score:  79
Sequences (13:41) Aligned. Score:  74
Sequences (13:42) Aligned. Score:  69
Sequences (13:43) Aligned. Score:  77
Sequences (13:44) Aligned. Score:  75
Sequences (14:15) Aligned. Score:  96
Sequences (14:16) Aligned. Score:  78
Sequences (14:17) Aligned. Score:  77
Sequences (14:18) Aligned. Score:  78
Sequences (14:19) Aligned. Score:  75
Sequences (14:20) Aligned. Score:  76
Sequences (14:21) Aligned. Score:  75
Sequences (14:22) Aligned. Score:  77
Sequences (14:23) Aligned. Score:  74
Sequences (14:24) Aligned. Score:  74
Sequences (14:25) Aligned. Score:  75
Sequences (14:26) Aligned. Score:  72
Sequences (14:27) Aligned. Score:  76
Sequences (14:28) Aligned. Score:  72
Sequences (14:29) Aligned. Score:  73
Sequences (14:30) Aligned. Score:  72
Sequences (14:31) Aligned. Score:  75
Sequences (14:32) Aligned. Score:  77
Sequences (14:33) Aligned. Score:  76
Sequences (14:34) Aligned. Score:  76
Sequences (14:35) Aligned. Score:  77
Sequences (14:36) Aligned. Score:  73
Sequences (14:37) Aligned. Score:  73
Sequences (14:38) Aligned. Score:  75
Sequences (14:39) Aligned. Score:  73
Sequences (14:40) Aligned. Score:  78
Sequences (14:41) Aligned. Score:  73
Sequences (14:42) Aligned. Score:  67
Sequences (14:43) Aligned. Score:  77
Sequences (14:44) Aligned. Score:  75
Sequences (15:16) Aligned. Score:  79
Sequences (15:17) Aligned. Score:  74
Sequences (15:18) Aligned. Score:  78
Sequences (15:19) Aligned. Score:  75
Sequences (15:20) Aligned. Score:  75
Sequences (15:21) Aligned. Score:  75
Sequences (15:22) Aligned. Score:  75
Sequences (15:23) Aligned. Score:  72
Sequences (15:24) Aligned. Score:  75
Sequences (15:25) Aligned. Score:  74
Sequences (15:26) Aligned. Score:  71
Sequences (15:27) Aligned. Score:  73
Sequences (15:28) Aligned. Score:  72
Sequences (15:29) Aligned. Score:  74
Sequences (15:30) Aligned. Score:  71
Sequences (15:31) Aligned. Score:  75
Sequences (15:32) Aligned. Score:  75
Sequences (15:33) Aligned. Score:  76
Sequences (15:34) Aligned. Score:  76
Sequences (15:35) Aligned. Score:  76
Sequences (15:36) Aligned. Score:  72
Sequences (15:37) Aligned. Score:  72
Sequences (15:38) Aligned. Score:  74
Sequences (15:39) Aligned. Score:  73
Sequences (15:40) Aligned. Score:  77
Sequences (15:41) Aligned. Score:  74
Sequences (15:42) Aligned. Score:  70
Sequences (15:43) Aligned. Score:  77
Sequences (15:44) Aligned. Score:  76
Sequences (16:17) Aligned. Score:  76
Sequences (16:18) Aligned. Score:  80
Sequences (16:19) Aligned. Score:  75
Sequences (16:20) Aligned. Score:  78
Sequences (16:21) Aligned. Score:  77
Sequences (16:22) Aligned. Score:  77
Sequences (16:23) Aligned. Score:  76
Sequences (16:24) Aligned. Score:  78
Sequences (16:25) Aligned. Score:  75
Sequences (16:26) Aligned. Score:  72
Sequences (16:27) Aligned. Score:  77
Sequences (16:28) Aligned. Score:  75
Sequences (16:29) Aligned. Score:  74
Sequences (16:30) Aligned. Score:  75
Sequences (16:31) Aligned. Score:  77
Sequences (16:32) Aligned. Score:  79
Sequences (16:33) Aligned. Score:  78
Sequences (16:34) Aligned. Score:  76
Sequences (16:35) Aligned. Score:  76
Sequences (16:36) Aligned. Score:  73
Sequences (16:37) Aligned. Score:  74
Sequences (16:38) Aligned. Score:  75
Sequences (16:39) Aligned. Score:  77
Sequences (16:40) Aligned. Score:  79
Sequences (16:41) Aligned. Score:  75
Sequences (16:42) Aligned. Score:  68
Sequences (16:43) Aligned. Score:  78
Sequences (16:44) Aligned. Score:  75
Sequences (17:18) Aligned. Score:  78
Sequences (17:19) Aligned. Score:  74
Sequences (17:20) Aligned. Score:  79
Sequences (17:21) Aligned. Score:  75
Sequences (17:22) Aligned. Score:  74
Sequences (17:23) Aligned. Score:  74
Sequences (17:24) Aligned. Score:  74
Sequences (17:25) Aligned. Score:  74
Sequences (17:26) Aligned. Score:  74
Sequences (17:27) Aligned. Score:  76
Sequences (17:28) Aligned. Score:  73
Sequences (17:29) Aligned. Score:  73
Sequences (17:30) Aligned. Score:  72
Sequences (17:31) Aligned. Score:  75
Sequences (17:32) Aligned. Score:  75
Sequences (17:33) Aligned. Score:  75
Sequences (17:34) Aligned. Score:  76
Sequences (17:35) Aligned. Score:  74
Sequences (17:36) Aligned. Score:  70
Sequences (17:37) Aligned. Score:  74
Sequences (17:38) Aligned. Score:  75
Sequences (17:39) Aligned. Score:  70
Sequences (17:40) Aligned. Score:  77
Sequences (17:41) Aligned. Score:  72
Sequences (17:42) Aligned. Score:  67
Sequences (17:43) Aligned. Score:  75
Sequences (17:44) Aligned. Score:  72
Sequences (18:19) Aligned. Score:  85
Sequences (18:20) Aligned. Score:  83
Sequences (18:21) Aligned. Score:  77
Sequences (18:22) Aligned. Score:  79
Sequences (18:23) Aligned. Score:  78
Sequences (18:24) Aligned. Score:  76
Sequences (18:25) Aligned. Score:  75
Sequences (18:26) Aligned. Score:  74
Sequences (18:27) Aligned. Score:  77
Sequences (18:28) Aligned. Score:  75
Sequences (18:29) Aligned. Score:  74
Sequences (18:30) Aligned. Score:  76
Sequences (18:31) Aligned. Score:  77
Sequences (18:32) Aligned. Score:  80
